"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","USA.CPI.CP06.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Health","Period average, Period-over-period percent change","Annual","Units","2.741212542222612","2.819939808660096","3.449845914656147","2.662488229935713","2.091152374486448","1.161040825180246","2.306857292042583","2.066313456733007","2.918463912413547","2.738464954929739","3.472174461537891",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP06.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Health","Period average, Year-over-year (YOY) percent change","Annual","Units","2.741212542222612","2.819939808660096","3.449845914656147","2.662488229935713","2.091152374486448","1.161040825180246","2.306857292042583","2.066313456733007","2.918463912413547","2.738464954929739","3.472174461537891",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP05.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Index","Annual","Units","97.9357471296377","97.21580177668428","96.08346451791512","95.2179738985","95.74020047079025","97.413766272485","99.11616265031628","103.4823568340751","112.9611458843534","115.9340533332897","115.2499823904152",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP06.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Health","Index","Annual","Units","111.9072023336324","115.0629180809963","119.0324114596977","122.2016354046208","124.7570578050458","126.2055381784561","129.1169198388874","131.7848801284375","135.6309742970034","139.3451809961566","144.1834887840889",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP02.YOY_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Period average, Year-over-year (YOY) percent change","Annual","Units","1.989850449828675","1.719485689106314","2.28382623029555","3.515364452181564","2.611499177513792","3.250865767572579","3.413117618302426","4.461650241362145","5.271148759782852","4.782608142687734","4.474799439967365",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP05.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Period average, Period-over-period percent change","Annual","Units","-1.445850659171736","-0.7351200905226436","-1.164766671749791","-0.9007695796124692","0.548453774963675","1.748028303121576","1.747593223189165","4.405128353448102","9.159811720829579","2.631796469185859","-0.5900517778912794",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP12.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Miscellaneous goods and services","Index","Annual","Units","110.5480288784083","113.3927214103849","117.7987632642324","121.9820543140559","126.4116729796084","130.2611564289596","133.0257424192358","134.6300579771096","143.933977644813","152.7023668752168","165.4175507971056",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP02.POP_PCH_PA_PT.A","OBS_VALUE","United States","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Period average, Period-over-period percent change","Annual","Units","1.989850449828675","1.719485689106314","2.28382623029555","3.515364452181564","2.611499177513792","3.250865767572579","3.413117618302426","4.461650241362145","5.271148759782852","4.782608142687734","4.474799439967365",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP04.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Index","Annual","Units","108.8686605981794","111.4068261574362","114.5788873648395","118.5400894240874","122.2893100806954","126.0080695441508","129.2693767034219","133.1739316315442","142.3571797566666","152.2421041380906","160.0145180540463",""
"IMF.STA:CPI(5.0.0)","USA.CPI.CP01.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","110.9639316738487","112.2596691929938","110.7718368263678","110.5478766211986","111.0514937048902","112.0344452059332","115.9612863526748","119.9841749231569","133.70902680318","140.3199601468186","141.9562868856748",""
